2026-03-18T16:40:36+01:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-18T16:41:43+01:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-18T15:45:22+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-18T17:11:18+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=200 | CURLERR= | BODY={"jobId":"7cbc466a-206a-478d-b8b0-1effae604419","base64":"err:invalid string position"}
2026-03-18T17:11:56+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=200 | CURLERR= | BODY={"jobId":"16f3aacb-8bb0-491a-96d3-05821d78a124","base64":"err:invalid string position"}
2026-03-18T17:36:49+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=200 | CURLERR= | BODY={"jobId":"de8e4837-715b-444e-8c17-3a5a0c8783e1","base64":"err:invalid string position"}
2026-03-18T17:36:51+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=200 | CURLERR= | BODY={"jobId":"ee086617-dd96-4707-8949-17d6b8635d75","base64":"err:invalid string position"}
2026-03-18T17:36:51+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=200 | CURLERR= | BODY={"jobId":"5f15d464-28da-479f-96cb-ad9d465f9a46","base64":"err:invalid string position"}
2026-03-18T17:36:52+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=200 | CURLERR= | BODY={"jobId":"4c764e2a-e228-4fda-87db-f3df48bdfac7","base64":"err:invalid string position"}
2026-03-18T17:37:58+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=200 | CURLERR= | BODY={"jobId":"3c1b31c5-a6db-475e-8223-970edb80ab29","base64":"err:invalid string position"}
2026-03-18T17:46:52+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=200 | CURLERR= | BODY={"jobId":"2299ae63-fd5a-4717-9513-307fcf94c18e","base64":"err:invalid string position"}
2026-03-18T17:46:52+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=200 | CURLERR= | BODY={"jobId":"8f12f323-ebd8-42e7-a63f-252dda2caf27","base64":"err:invalid string position"}
2026-03-18T17:49:53+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=200 | CURLERR= | BODY={"jobId":"9dda6056-3d1d-428b-a615-5b98073e74bd","base64":"err:invalid string position"}
2026-03-18T17:49:54+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=200 | CURLERR= | BODY={"jobId":"800cbb6b-4c2b-40e6-a51c-1d10b01edd56","base64":"err:invalid string position"}
2026-03-18T17:50:14+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=200 | CURLERR= | BODY={"jobId":"0dadd196-e755-4f75-b017-535502f761d0","base64":"err:invalid string position"}
2026-03-18T18:03:57+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=200 | CURLERR= | BODY={"jobId":"089d9c52-7bf2-4ee6-9ffe-6367e7352531","base64":"err:invalid string position"}
2026-03-18T18:03:58+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=200 | CURLERR= | BODY={"jobId":"b4ca4a46-2f00-432b-ac18-4a8181541eaa","base64":"err:invalid string position"}
2026-03-18T18:10:31+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=200 | CURLERR= | BODY={"jobId":"3f8a0bc7-9cd1-4cc0-ae19-f8a29c61d69f","base64":"err:invalid string position"}
2026-03-18T18:10:32+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=200 | CURLERR= | BODY={"jobId":"00c6cc6d-38cc-4d24-a0a9-b3540f42c39c","base64":"err:invalid string position"}
2026-03-19T15:40:36+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=0 | CURLERR=Failed to connect to localhost port 7000 after 2239 ms: Couldn't connect to server | BODY=
2026-03-20T12:16:48+01:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=0 | CURLERR=Failed to connect to localhost port 7000 after 2242 ms: Couldn't connect to server | BODY=
2026-03-20T11:21:33+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
